ID;PESO;C1;C2;C3;C4;C4_1;C6;P1001_1;P1001_2;PCAV1220231;P1002;P1005_1;P1003;P1005_2;P1004;P1005_3;P1012;P1013;P1013_1;P1014;P1015;P1016;BS58000;BS58000B;BS58000C;P11017;PBARDIC24_1_1;PBARDIC24_1_2;PBARDIC24_1_3;PBARDIC24_1_4;PBARDIC24_1_5;PBARDIC24_1_6;PBARDIC24_1_7;PBARDIC24_1_8;PBARDIC24_1_V2_1;PBARDIC24_1_V2_2;PBARDIC24_1_V2_3;PBARDIC24_1_V2_4;PBARDIC24_1_V2_5;PBARDIC24_1_V2_6;PBARDIC24_2;PBARDIC24_3;PBARDIC24_4_1;PBARDIC24_4_2;PBARDIC24_4_3;PBARDIC24_4_4;PBARDIC24_4_5;PBARDIC24_4_6;PBARDIC24_4_7;PBARDIC24_4_8;PBARDIC24_4_9;PBARDIC24_5;PBARDIC24_6;PBARDIC24_7;PBARDIC24_8_1;PBARDIC24_8_2;PBARDIC24_8_3;PBARDIC24_8_4;PBARDIC24_8_5;PBARDIC24_8_6;PBARDIC24_8_98;PBARDIC24_9;PBARDIC24_10;PBARDIC24_11_1;PBARDIC24_11_2;PBARDIC24_11_3;PBARDIC24_11_4;P2003;BVPCE100000;P2002_CONOC_1;P2002_VAL_1;P2002_CONOC_2;P2002_VAL_2;P2002_CONOC_3;P2002_VAL_3;P2002_CONOC_4;P2002_VAL_4;P2002_CONOC_8;P2002_VAL_8;P1018;P200110;P2005;P2007;P2008A;P2105A;BCHVC66000_1;BCHVC66000_2;BCHVC66000_3;BCHVC66000_4;BCHVC66000_5;BCHVC66000_6;BCHVC66000_7;BCHVC66000_8;BCHVC66000_9;BCHVC66000_10;BCHVC66000_11;BCHVC66000_12;BCHVC66000_15;BCHVC66000_16;BCHVC66000_13;BCHVC66000_98;BCHVC66000_99;BCHVC67000;BCHVC68000;P221009;P2009;P2010;P2012;P2013;P2014;P2015
61;1,18528996413301;29;5;1;51;4;1;10;9;8;201;1;201;1;300;1;2;2;1;2;1;1;1;3;3;2;9;2;8;5;7;10;9;9;7;10;10;7;7;9;1;98; ; ; ; ; ; ; ; ; ;4;7;1;1;0;0;1;0;0;0;3;1;2;2;2;2;7;7;1;9;1;4;2; ;2; ;2; ;2;4;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;4;4;3;2;5;4;10;1;3
170;,783474421225984;23;3;2;62;5;1;5;8;6;300;10;300;10;300;10;5;3;2;4;3;3;3;3;3;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2; ; ; ; ; ; ; ; ; ;4;9;5;1;0;0;0;0;0;0;2;5;2;2;1;1;9;7;1;6;2; ;2; ;2; ;2; ;2;5;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;4;1;3;5;1;4
31;,942433030990186;18;5;2;22;1;1;3;4;5;819;3;300;1;300;3;4;3;2;2;1;2;1;3;3;5;10;0;6;5;7;10;6;8;7;10;10;3;6;7;1;98; ; ; ; ; ; ; ; ; ;4;2;1;0;0;0;1;1;0;0;1;1;2;1;1;1;10;9;1;10;1;4;2; ;2; ;2; ;1;5;3;1;1;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;2;5;3;4;5;5;4; 
85;1,25577084459793;41;1;1;61;5;1;3;5;6;300;10;300;10;300;10;5;3;1;1;2;3;3;3;1;1;10;1;1;9;7;7;7;8;8;9;8;3;8;8;1;98; ; ; ; ; ; ; ; ; ;2;2;5;1;1;0;0;0;0;0;1;1;2;2;1;1;5;6;1;9;1;4;2; ;2; ;2; ;1;5;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;3;2;3;2;4;3;10;1;4
88;1,25577084459793;41;1;2;34;2;1;6;6;8;300;98;300;98;300;98;2;2;3;2;2;2;1;3;1;2;8;0;0;6;2;7;1;4;5;5;3;0;1;2;1;1;2;1;1;2;2;1;2;1;2;4;5;3;1;1;1;1;1;0;0;1;1;2;1;2;1;6;8;1;6;1;1;2; ;1;2;2; ;2;5;10;1;1;10;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;1;3;1;5;1;10;1;4
137;1,18528996413301;29;5;2;64;5;1;6;6;7;809;4;809;4;300;4;2;3;2;2;1;1;1;3;3;2;8;0;2;2;3;6;5;5;6;7;7;4;5;6;1;2; ; ; ; ; ; ; ; ; ;3;7;3;1;1;1;1;0;0;0;1;1;2;2;1;1;6;8;1;6;1;4;2; ;2; ;2; ;2;5;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;4;2;6;5;10;2; 
222;,942433030990186;18;2;2;24;1;1;8;8;8;800;10;9500; ;300;98;2;2;3;2;2;1;3;3;1;2;8;4;2;4;5;8;9;8;6;8;8;3;5;7;1;1;1;1;98;1;2;1;1;98;2;4;3;2;1;0;1;0;0;0;0;2;2;2;1;2;1;5;6;1;8;1;98;2; ;2; ;2; ;1;5;98;98;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;4;3;6;1;3
278;,942433030990186;18;5;1;52;4;1;7;7;8;800;3;201;7;300;7;2;2;1;2;1;2;1;3;98;4;10;0;4;0;5;10;4;6;6;10;10;0;5;2;1;1;98;98;98;98;98;98;98;98;98;4;10;4;0;0;1;1;0;0;0;3;1;2;2;2;2;5;5;1;7;2; ;2; ;2; ;2; ;4;5;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4;3;3;4;4;6;4; 
363;1,25577084459793;41;4;2;54;4;1;5;4;5;800;10;408;8;300;98;4;2;2;2;2;2;2;3;3;3;8;0;4;4;4;5;5;5;5;6;7;4;3;4;2;98; ; ; ; ; ; ; ; ; ;2;5;98;1;1;1;1;1;0;0;3;2;2;1;1;1;6;5;1;9;1;1;2; ;2; ;2; ;2;5;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;3;6;4;10;1;2
402;1,25577084459793;41;2;1;55;5;1;9;9;8;300;4;300;4;300;4;1;1;2;2;1;1;1;3;3;1;10;0;5;0;5;9;5;7;5;9;10;0;2;5;2;1;1;1;1;98;1;1;1;98;1;4;9;1;1;1;0;0;0;0;0;1;1;2;2;1;2;8;8;1;9;1;2;1;6;1;4;2; ;1;5;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;2;4;5;10;1;1
